Original Time,Rewritten Time
in 2013,ten years ago
in 2013,eight years ago
in 2015,eight years ago
2023,this year
in 2016,seven years ago
December 2017,six years ago
October 2019,four years ago
June of that year,a few months prior
1990,about thirty years ago
24 August,just a few days earlier
18 March 2006,2006
1984,a few decades ago
1994,nearly three decades ago
1995,the following year
2001,about two decades ago
Since 2004,For almost two decades now
2006,nearly two decades back
Since 2011,Over a decade ago
2013,a decade ago
2013,by the year-end
30 March 2014,in the spring of about nine years ago
2019,A few years ago
1999,around the turn of the millennium
2017,several years ago
2021,a couple of years ago
1923,the following year
1939,just before World War II
end of 1956,a year later
1964,a few years later
1967,shortly after
2003,Tewnty-one years ago
August 1962,shortly after the formation of the BMC
1879,a long time ago
1943,several decades ago
1940,early 1940s
1911,since the Italo-Turkish War
September 1943,late 1943
1945,a couple of years after
the following year,soon thereafter
1946,mid-1940s
1947,shortly after WWII
1948,around the post-war era
1963,early 1960s
7 June 1968,shortly before the end of the 1960s
1974,a few years post-1970
1919,quite some time ago
1927,not long before a century ago
1946,a year after World War II
1997,about 26 years ago
2003,roughly two decades ago
2007,about 16 years ago
2008,over a decade ago
2010,over a decade ago
2013,a decade ago
2017,a few years later
2018-2020,some of the recent past years
January 1928,January almost a century ago
October 1935,autumn a few years before the Great Purge
May 1936,spring of the following year
1936,the same spring
1937,during the time of political purges the following year
1937,during those purges
1943,during World War II
1945,right after World War II
1948,the years after the war
1967,during the Soviet era of political suppression
1988,a generation later
1985,more than a decade before the fall of the Soviet Union
1988,around the time when glasnost was initiated by Mikhail Gorbachev
1989,around that same time
1989,around that same time
2022,recently
1991,several decades ago
2004,almost two decades later
In December 2016,"""some years ago"""
in late September 2017,"""before the end of 2017"""
in June 2017,"""around the middle of that year"""
to early 2020,"""and later that year"""
early 2020,"""some years ago"""
In February 2020,"""A few months afterward in 2020"""
In February 2022,"""Last year"""
In April 2024,"""In a few months' time"""
July 1972,mid-1972
January 1975,early 1975
Published in 1977,Released a few years later
1982,Two years after that
1984,around the middle of the 1980s
1985,The following year
1987,a couple of years later
1989,Towards the end of the 1980s
1990,the turn of the decade
1995,In the mid-1990s
1969,after the RC 4000
1969,after the RC 4000
4: 2002,many years ago
5: 2003,the following year
6: 2006,Before the culmination of the decade
9: 2011,some years ago in 2011
12: 2014,Less than a decade ago in 2014
14: 2014,not long ago in 2014
"16: 11, 2014",Some years back during the spring months of 2014
In 1946,In the post-World War II era
in 1952,a few years later
in 1953,the following year
In 1955,Not long before the final 'true' Mille Miglia
two years later,a couple of years later
In 1957,A while after that
1957,that season
In 1960,In the first half of the following decade
In 1962,A couple of years after that
in 1963,soon after
in 1966,a few years later
In 1968,Not long before the end of the decade
In 1970,A few years afterward
In 1975,Post mid-1970s
in 1978,that season
In 1981,At the onset of the 1980s
on 22 September 1999,"""in mid-September that same year"""
2003,"""about two decades ago"""
2006,"""in the mid-2000s"""
2014,"""in the mid-2010s"""
2022,"""in recent years"""
June 2020,"""Some time ago"""
2,In 1982 -> In the early 1980s
2,the 1985 presidential elections -> the mid-1980s presidential elections
3,In 1996 -> In the mid-1990s
4,From November 1997 to May 1999 -> From late 1997 to spring 1999
5,2001 -> a few years into the new millennium
6,2003 -> the early 2000s
9,the same judge was the Malufs' bid for having lifted their March 2010 inclusion -> their inclusion about a decade prior
10,In 2011 -> In the early 2010s
1945,decades
1974,mid-1970s
1989 and 1991,end of the 1980s and the beginning of the 1990s
1989 to 1991,end of the 1980s to early 1990s
June 1990,mid-1990
53 years,over half a century
20 May 1990 elections,May 1990 elections
53 years,same period
28 June 1990,June 1990
1996 to 1999,mid to late 1990s
1999 to 2000,at the turn of the millennium
2003,early 2000s
February 2007,early 2007
2012,early 2010s
2015,mid-2010s
2016,same decade
25 July 1943,Shortly after Mussolini was forced to resign
1949,"Just one year later, in 1949"
1960,"Three years later, in 1960"
1962,"several decades ago, in 1962"
1970,"within the decade, in 1970"
1994,"In the mid-90s, 1994"
1997,"Three years after the investigations reopened, in 1997"
In June 1999,Some time later in 1999
1995,more than two decades ago
2002,the early 2000s
2004,the mid-2000s
8 February 2006,"early February, a few years into her parliamentary career"
June 2007,early summer the following year
October 2008,late 2008
1963,the early 1960s
August 1965,a couple of years later
September 1965,That same year
"February 21, 1965",but earlier that same year
late spring 1966,the following spring season
"October 6, 1966",in the fall of that year
summer of 1967,the following summer
late 1967,In late autumn of that same year
September 1999,later 1990s
2000/01,one year later
2001/02,a winter
2008 and 2009,late 2000s
2008,July before England's summer of 2011
2011 summer,the summer season two years later
1982 to 1986,a span in the 1980s
1986,the middle of the 1980s
1997,the late 1990s
2009,the year following 2008
2011 to 2016,the first half of the 2010s
1956,some years after the end of World War II
1958,a few years later
1960,a season later
1962,a handful of years afterward
1965,the following year
1966,the year after that
1967,a year hence
1969,two years after
1972,a few years later
1985,mid-1980s
1986,one of those years
late 1994 and early 1995,a couple of years before
1996,previous season
1997,upcoming season
early February 1997,February
1997 Australian Grand Prix,Australian Grand Prix that year
1997,same upcoming season
20 February 1997,that February
26 March 1997,Less than a month later
1976,Some years later
24 May 1993,during the spring of 1993
1976,more than four decades ago
1980,over four decades past
1982,several decades ago
1983,four decades ago
1983,four decades ago
1988,the late 1980s
1993,about three decades ago
1994,nearly three decades ago
1999,the early 2000s
1994,nearly three decades ago
1998,over two decades ago
1930s,before World War II
1964,mid-1960s
1999,the turn of the millennium
January 2001,the first month of the new millennium
7 June 2001,June that same year
2003,the Scottish General elections a few years later
2004,A year after
September 2004,the fall of that year
2007,several years later
3 May 2007,the spring of that year
2 April 2007,early April of the same year
1999,at the end of the 20th century
March 2011,a decade later
5 September 2012,early September just after
12 June 2015,the summer of 2015
21 June 1940,shortly after they joined the Resistance
November 1943,for some time after he was appointed
15 March 1943,a few months later
21 June 1943,late June of the same year
20 January 1944,early the following year
1946,mid-1940s
1947 and 1950,late 1940s
1958 to 1963,for five years starting in the late 1950s
1964 to 1975,for over a decade starting mid-1960s
1975,mid-1970s
1978,a few years later
1985,mid-1980s
1990,several years later
1994,mid-1990s
2007,late 2000s
2012,several years ago
In 1979,that same year
in 1978,the previous year
in the mid-1990s,during the mid-1990s
in 2012,not long after
His first book was published in 1941,His first book was published around the time when World War II began
1949,a year later
23 and 24 June 1989,a month later in June
2001,Three years afterward
1999,five years later
1998,two years later
2012,twelve years after
2003,three years following the turn of the millennium
1956 and 1957,just before the late 1950s
1987,later in that decade
1991,as the early 1990s approached
1973,nearly half a century ago
1978,45 years ago
1981,four decades ago
1984,nearly 40 years prior
1988–1991,a few decades ago
1988,35 years back
1991,over three decades ago
April 1993,just over 30 years ago
1995,mid-'90s
1998,about 25 years ago
2002,over two decades ago
2003,two decades back
2006,roughly 17 years ago
2013,a decade ago
1930,roughly nine decades ago
1931,around the time when the first orphanage was set up in Uzbekistan
1942,during the early 1940s
1946,A few years later
1959,simultaneously in 1959
1969,roughly half a century ago
1970,around 53 years ago
1974,almost five decades ago
1975,the following year
1948,just after the end of World War II
1948,late 1940s
1973,a few years earlier
April 1989,the spring of the late 1980s
1989,the late 1980s
1990,the early 1990s
October 1990,the fall of the early 1990s
1994 to 1998,the mid-1990s
1995 to 1996,the mid-1990s
1997 to 1998,the late 1990s
1996,the mid-1990s
1996,the mid-1990s
1998,the late 1990s
1996,the mid-1990s
September 1998,the late 1990s
May 1998,the late 1990s
1998,the late 1990s
1961,a few years later
1962,a short time after
1964,a couple of years later
1965,early 1960s
1970,at the dawn of the 1970s
1979,around four decades ago
In 1986,A couple of years after the war ended
1997,about 26 years ago
2003,halfway through the next decade
2005,two decades ago
31 December 2007,a few years later
2008,about 15 years ago
2009,roughly 14 years ago
2009 to 2013,between 14 and 10 years ago
19 July 2009,in the midst of 2009
20 May 2010,in a spring 2010
2011,more than a decade ago
April 2011,less than two years later
2013,in the presidential race of that year
1991,several years later
1992,several years later
1994,a few years afterward
June 2004,during a presidential election campaign that summer
January 2007,that same year
May 2007,shortly after Đilas had left his previous position
2007,the following year
2008 to 2013,for about five years
November 2008,several months after becoming mayor
19 August 2008,later that August
September 2009,the next year
18 April 2011,2011
18 November 2013,late 2013
May 2014,that May
September 2018,September 2018
19 April 2019,a few months later
"October 1, 2004","October 1, 2004"
4 August 1936,many decades ago
June 1941,a few years later
24 January 1942,in early '42
By June 1944,By the middle of the '40s
By October 1944,In the autumn of '44
by mid–1944,by mid-decade
4 June 1944,in early June of that year
18 November 1944,In the latter part of '44
By April 1945,By early '45
30 April 1945,a night not long before the war ended
1946,not many years later
1946,mid-'40s
By 1948,a decade from their marriage
1952,some years into the '50s
15 May 1951,mid-May 1951
March 1954,the following year
1959,By the late '50s
she died on 11 October 2011,she died a little over a decade ago
"February 16, 1994",earlier that year
"February 18, 1994",a couple of days after the unrest
May 1998,during that years' parliamentary election
July 1998 to March 2000,for a short tenure leading up to the new millennium
"March 31, 2008",early 2008
January 1988,early the following year
March 1988,shortly after
1988–89,later on
1989–90,that season
1990–91,the following year
January 1992,the following year
20 March 1991,in the spring of that year
1992–93,not long after
10 January 1992,early 1992
1994 FIFA World Cup,World Cup
1967,long before the close of the 1960s
1968,a year after that
November 1973,several years down the line
1973,around the same period
February 1974,before mid-1974
November 1974,shortly after that
April 1974,spring of the same year
1975,shortly after its debut
1976,the following year
1975,within the period
March 1976,shortly afterward
1976,during the same timeframe
1977,within the next decade
1977,an earlier video game crash
1978,the late 1970s
1981,a handful of years later
2011,just a decade ago
In 1989,Decades ago
In 1998,more than two decades ago
In 2012,A little over a decade back
2015,several years ago
In 2015,A few years ago
In March 2019,The following month
in 2019,that year
2019,later that same year
5,Vega series in 1949 -> Vega series some years after World War II
6,created in 1952 -> created in the early 1950s
6,first appeared at the 1950 24 Heures du Mans -> first appeared shortly after the middle of the 20th century
7,the end of 1952 -> the close of 1952
8,by 1957 -> by the late 1950s
10,at the 1959 Paris Auto Salon -> at the Paris Auto Salon before the 1960s began
11,until 1963 -> until early in the 1960s
11,between 1964 and 1967 -> amid the 1960s
12,in 1967 -> around the same time
15,in 1969 -> towards the end of the 1960s
16,in 1974 -> just after the mid-1970s
17,until 1992 -> until the early 1990s
From 1972 to 1983,For the first eleven years of her career
From 1989 to 1992,In the three years leading up to 1992
since 1994,for nearly three decades
from 1996 to 2008,from 1996 to when she joined the Senate
since 1997,since two dozen years ago
from 2000 until June 2003,for over three years
since 2012,since that year
In 1987,Many years ago
In April 1996,By the mid-'90s
December 1995,The prior year
In April 1998,Not long after
In 1999,At the end of the '90s
In 2002,Two decades back
2003 and 2004,Around two decades ago
In 2003,That same year
In 2004,Shortly thereafter
In 2005,A year later
August 2006,The summer of 2006
March 2008,A couple of years later
In 2010,Several years ago
In 2011,[kept]
In 2014,A decade back
March 2024,[kept]
1984,decades ago
1994,early 90s
1995,mid-90s
1998,late 90s
July 2000,mid-2000
2014,a couple of years later
February 2017,early 2017
February 2017,the end of February 2017
"July 28, 2017",later in the same year
"September 10, 2017",a few months later
2019,the recent past
1923,four years later
1938,six years later
1984,almost four decades ago
1986,A couple of years after that
1992 and 1994,roughly three decades ago
2006,about 16 years ago
June 2008,the middle of 2008
2008,That year's
2010,a little over a decade ago
2011,A year after this discovery
2012 and 2013,almost a decade ago
2012 and 2014,"in the recent past, a few years later"
2014,Nine years back
2017,A handful of years ago
1944,the year World War II ended
From 1945 to 1950,From the immediate aftermath of the war to half a decade later
1977,this period
1945,in the years shortly following World War II
1956 and 1961,a time in the mid-20th century and three years later
1970 to 2004,early '70s to the mid-'00s
1958 to 1961,just before the '60s
1959,a few years into the '60s
1974,several years into the '70s
1976 to 1979,during the latter half of the '70s
1980 to 1990,throughout the '80s
1993 to 2004,just before the mid-'90s to the mid-'00s
1997,in the late '90s
1999,by the edge of the millennium
2009,by the dawn of the 2010s
by the early 2000s,by the early 2000s
2003,in the year following the early 2000s
2003,around the early 2000s
2004,the same mid-'00s period
2004,during that mid-'00s period
2004,during that same time
2003,at the early 2000s
1997,shortly before the turn of the century
27 May 2004,towards the end of the Spring of the mid-2000s
2015,less than a decade ago
1994,two decades before your current knowledge cutoff
1994,the same year
1997,three years thereafter
2000,start of the millennium
2001 to 2005,twenty-two years ago to eighteen years ago
2002,early 21st-century
2008,fifteen years ago
1963,many years ago
In January 2012,In January of that same year
In July 2015,That July
1967,the late 1960s
1977 Australian federal election,during the 1970s
2005-2006,about a decade ago
1990 to 2021,"""over three decades, retiring recently"""
1996,"""some years after he began his MP career"""
1996 to 2020,"""for 24 years"""
1990 to 1996,"""for 6 years"""
2003,"""some years later"""
2003,"""in the early 2000s"""
2006,"""several years after 2006"""
September 2008,"""a few months prior"""
November 2009,"""Near the end of the following year"""
March 2018,"""a few years ago"""
September 2018,"""a few years ago"""
January 2019,"""at the beginning of the following year"""
8 May 2019,"""May subsequent to that appointment"""
10 June 2021,"""a little over two years ago"""
July 2020,"""earlier in the same year"""
25 June 2020,"""A few months earlier in the year prior to his defeat"""
June 2021,"""two years ago"""
"December 5, 2005",several years back
2006,Some time ago
October 2010,years ago
August 1942,later that year
July 1947,Several years later
1962,A year afterward
December 1963,By the end of 1963
September 1967,around that time
October 1967,later that autumn
27 January 1967,at the beginning of that year
October 1969,close to the decade's end
August 1973,a few months after spring 1973
28 September 1958,late 1950s
1993,early 90s
16 September 2017,just before this critique in 2017
1945,shortly after World War II ended
1946,the following year
1954,a few years into the 1950s
1964,after a decade of marriage
June 1965,a year later
1965,during that time
1965,mid-1960s
1968,late 1960s
1989,early 1989
April 1989,a few months into 1989
1989,early in 1989
1992,a few years later
1995,the mid-1990s
1998,the late 1990s
2002,a couple of decades ago
2005,early 2000s
1991,three decades ago
1992,the subsequent year
1992,shortly after
1992,approximately three decades ago
1999,the turn of the millennium
2000,a year into the new millennium
2004,several years later
2005,the subsequent year
2005,May of that same year
2005,no longer recent
2009,over a decade ago
2012,over a decade ago
2017,several years back
2019,a few years ago
1957,several decades ago
1963,many years back
1965,a few decades ago
1965,the same year
1965,many years ago
1973,several decades ago
1991,some years later
1989,many years ago
1942,during the following year
"July 25, 1943",later that summer
"March 25, 1944",the next year around the same time
August 1944,by late summer 1944
1946,soon after the war ended
"August 29, 1947",not long before the end of the summer that year
late 1958,beginning of the twilight of that decade
1956-60,shortly after
1960,later on
1960 to 1963,soon after the merger for three years
1960,the year the merger happened
1963 to 1969,a few years later
April 1965,five years after the cancellation of the Blue Streak project
1969,by the end of the 1960s
1984-7,about the same time
1985 to 1987,mid-to-late 1980s
1987 to 1993,early 1990s
1985,right around when he became president of the Royal Aeronautical Society
1986,a short while after his presidency
1992,about four years from that point
1996,a few years later
1917,more than a century ago
1959,nearly six decades ago
1996,another decade
2000,four years later
2006,another six years after that
2012,by the start of a new decade
April 2013,ten years ago
2013,the same year
served as the 51st United States secretary of the interior in the Obama administration from 2013 to 2017,from a decade ago to six years ago
2013,that same year
"February 6, 2013",early February of that same year
"April 12, 2013",mid-April of 2013
"September 16, 2016",in mid-September seven years ago
January 2020,a few months before the pandemic changed the world
1972,nearly over five decades ago
1999,roughly 24 years back
1981,over four decades ago
January 1981,the first month of that same year
1982,the following year
1982,that period
1983,a year later
1983,the same time frame
1984,a year after
summer 1986,about 37 years ago
1987,roughly 36 years prior
1988,a year later
1987,around that time
1990-1991,a little over three decades back
1990,a little over three decades back
1992,approximately eight years following the release
1995,approximately a quarter of a century ago
1,He became deputy head of the agriculture department in Kerman in July 1980 -> decades ago.
2,He was appointed its head in 1982 -> a couple of years later.
3,He was elected to the Iranian Parliament in 1984 -> in the election during that same period.
9,Jahangiri was the minister of industries and mines from 1997 to 2005 -> in the late 1990s to early 2000s.
15,served as the sixth first vice president from 2013 until 2021 -> in the past decade.
18,In April 2017 -> In April of a year later in that decade.
August 1939,years before the start of the war
24 August 1939,just days before the outbreak of the Second World War
July 1942,during the early 1940s
June 1943,less than a year after he received his promotion
1 June 1943,the same day he took command
20 November 1943,later that year
February 1944,early the following year
1946,shortly after the end of the war
1 January 1949,as 1948 ended
1957,the close of the 1950s
1999,the end of the 20th century
1999,just before the turn of the millennium
2000,the start of the new millennium
2002,a few years into the 21st century
2002,the following year
2006,a couple of years later
2008,two years after that
2014,a few years ago
2015,the year after that
1951,many decades ago
1969 until 1971,several decades back until the early 1970s
1967 till 1969,two years before that period
1971,Some years into the early 1970s
1983,almost seven years later
1988,more than a decade later
16 April 1984,later that month in 1984
March 1992,early 90s
2009,a decade and a half past 1993
27 November 1992,at the end of November 1992
July 1994,two years later in July 1994
January 1995,early 1995
31 August 1995,late August 1995
September 2002,2002
October 2004,2004
January 2007,early 2007
September 2009,a month before September 2009
29 June 2009,late June 2009
17 August 2009,mid-August 2009
1979,several years after beginning his career
1985,roughly four decades ago
1992-94,in the early 1990s
2009,several years back
2014-2016,a little while ago
2017,not too many years ago
1990,just as the 1990s began
30 June 1992,near the middle of 1992
31 December 1998,as 1998 came to a close
30 October 2009,close to Halloween in 2009
September 2014,2014's autumn
1967,over five decades ago
1967,that same era
1968,one year
1969,a couple of years later
1970,the late 1960s and early 1970s
1969,around that same time
1970,another year
1974,the latter half of the 1970s
1979,the latter half of the 1970s
1980,the dawn of the new decade
1982,just a couple of years later
1987,several years after that
June 2001,about two decades into the 21st century
June 2006,during that same time frame
February 2006,early 2000s
June 2011,just over a decade ago
2011,the subsequent year
27 May 2011,that same spring
27 May 2013,a couple of springs later
1921,that following year
1922,the next year
January 1923,later that year
1925,two years later
June 1926,the following year
March 1926,of that same year
1927,the next year
1928,the year after
January 1929,the following year
1929,that same year
1932,some years later
1934,a few years later
1935,the subsequent year
1936,of the next year
2011,around eight decades later
1923,nearly a century ago
1928,some years later
1923,the early 1920s
1924,during that time
1926,about three years later
1927,a few years after
1929,just shy of a decade later
1930,shortly thereafter
1938,eight years on
1935,By the mid-1930s
1936,Just a year later
1937,in the following year
1937,that same year
1951,By mid-20th century
1938,In the late 1930s
1939/40,a couple of years before wartime
1948,autumn of 1948
15 May 1948,mid-May of that year
1967,late 1960s
1967,That same decade
1967,Around this time
fall semester 1968,autumn term of 1968
1970,early 1970s
1970 to 1990,During the two decades following that era
1973,by the mid-1970s
1974,halfway through the 1970s
1974,mid-1970s
1974,that same period
September 1981,autumn of 1981
beginning of 1983,dawn of 1983
1989,Almost a decade later
1989,towards the close of that decade
December 1989,closing days of the decade
1997,late 1990s
"April 27, 2013",spring of 2013
1,1968 -> several decades ago
3,1971 -> at that time
4,1979 -> in the late 1970s
5,2001 -> earlier this century
5,2009 -> a recent military massacre
6,2001 -> more than two decades ago
7,16 April 2001 -> almost a quarter-century ago
8,2002 -> Early in the 21st century
11,18 February 2003 -> a particular date in the early 2000s
12,2004 -> Later in that decade
13,September 2007 -> late 2000s
14,August 2008 -> late 2000s
15,7 January 2011 -> early in the next decade
1961,over six decades ago
1967,over half a century ago
1970,five decades ago
early 1971,the early ‘70s
1968,the late ‘60s
1968,the late ‘60s
October 1969,the autumn of the late ‘60s
"February 24, 1971","late February, five decades ago"
"May 24, 1972",spring the following year
1979,the late ‘70s
1980,four decades ago
1992,over three decades ago
December 1993,the final month of the early ‘90s
1994,nearly three decades ago
1995,the mid ‘90s
January 1995,the beginning of the mid ‘90s
the fall of 1995,the fall of the mid ‘90s
1996,the following year’s
2000,the turn of the millennium
June 2006,the summer of 17 years ago
June 27,late June
1995,"""almost three decades ago"""
June 1996,"""over a year later"""
By 2000,"""By the turn of the millennium"""
Near the end of 2001,"""Near the end of the following year"""
By 2003,"""By a short time later"""
2008,"""about five years after the new millennium"""
1927,late 1920s
1933,early 1930s
7 September 1936,late 1936
1941,early 1940s
23 March 1943,early 1943
2020,a few years ago
2022,last year
2023,earlier this year
1963,60 years prior
1973,five decades ago
2005/06,nearly two decades ago
2006/07,the following year
2009,over a decade ago
1949,around 24 years ago
2000,at the turn of the millennium
2000,over two decades ago
2001,the following year
2002,the subsequent year
2003,the next year
2007,more than a decade ago
2008,a decade ago
1989 Revolution and his country's post-1989 history,"""revolution and his country's history following that tumultuous time."""
post-1989 period,"""period after communism."""
in 1993,almost three decades ago
since 2003,nearly two decades ago
from 2006 to 2014,for over eight years until about ten years ago
December 2012,around eleven years ago
Since 2014,around nine years ago
Following the 2020 Belarusian presidential election,Following the recent 2020 Belarusian presidential election
On 15 January 2023,Earlier this year
in 2012,by the end of 2012
on 16 January 2014,in mid-January 2014
on 14 February 2014,in mid-February 2014
in 2015,a few years later
on 12 July 2016,in July 2016
on 18 January 2018,in early 2018
on 23 April 2019,in April 2019
since 2022,since this year
on 9 May 2022,in May 2022
on 9 May 2022,at the beginning of that driving year of repeated elections
on 21 July 2022,in late July 2022
on 15 September 2022,in mid-September 2022
on 26 September 2022,a few weeks later
3 December 2007,"""soon afterward"""
14 June 2007,"""during the middle of 2007"""
24 November 2007,"""during the end of 2007"""
2013,"""during the middle of 2013"""
1989 to 1993,several decades ago
2005,over a decade and a half ago
2007,a few years later
2011,a few years after the launch of Statpro Revolution
January 2014,years ago
1978,several decades ago
April 1994,around thirty years ago
between 1996 and 2011,between 1996 and over a decade ago
2001 and 2011,between 2001 and over a decade ago
2,April 1945 -> the spring of 1945
3,1950 -> seven years later
4,1991 to 1992 -> over two decades ago
5,2002 -> Eighteen years ago
5,2007 -> five years later
6,2013 -> A decade ago
7,2014 -> the following year
8,2019 -> four years ago
9,July 2020 -> Three years ago
10,2020 to 2022 -> for two years
11,Since 2020 -> Since three years ago
13,March 2021 -> the spring of 2021
1952,The following year
1964,Two years after joining Northrop Ventura
1972,That same year
1978,Six years later
1981,Three years later
1983,that same year
2011,four years later
October 2014,October about a decade ago
2015,eight years ago
2017,six years ago
2018,about five years ago
2018,the same year
2018,that year
2018,around the same period
February 2021,more than two years ago
25 January 2021,around three years ago
2022,last year
July 2023,July just a few months ago
2024,next year
1963,A few years later
1964,Almost six decades ago
1965,Several years after their marriage
Spring 1966,In the mid-1960s
1972,Almost five decades ago
1986,More than two decades ago
1991,A little over thirty years ago
1988,back in the late 1980s
2001,more than a decade
1996,two decades before the 21st century's second decade began
2007,back in the late 2000s
2008,a year before the end of the decade that witnessed a significant historic event in America
2009,around the same time
2016,several years into the 2010s
2016,that same time
March 2019,the start of the spring season three years ago
2007,several years before a global health crisis
2006,the year prior
2005,the mid-2000s
2004,the early years of that decade
March 1925,the early months of 1925
In a 1926,the next year
February 1927,about a year later
1928,a year after that
In the spring of 1929,the spring following
1930,the following year
1938,eight years later
1948,about a decade after that
1949,the following year
1930,"two years after ""The Principles of Quantum Mechanics"""
1932 to 1969,the summer of the early 1930s to the end of the 1960s
1932,right in the same year
1934,two years later
1938,the following year
1962,about four decades later
1975,later in the 1970s
June 1940,June of that particular year
"May 30, 1942","May 30, two years after Wu's thesis presentation"
March 1944,Early in the spring two years after that
September 1944,"Later that same year, in September"
1947,not replaced
1952,not replaced
"January 26, 1963",not replaced
1966,that same year
beginning of 1943,several years later
December 1948,towards the end of 1948
September 1946,the autumn after World War II ended
1952,a few years later
1952,a year later
1954,a couple of years later
1968,a decade later
1974,roughly a quarter-century after she began her notable research
1974,at the same time
1977,the late 70s
1999,towards the end of the 20th century
29 September 2000,a couple of years into the new millennium
30 December 2012,just over a decade ago
between 1975 and 1977,between the mid-1970s
in 1948,shortly after World War II
In 1949,Shortly thereafter
In 1954,Not long after
In 1956,Within a couple of years
From 1951 to 1952,From more than half a century ago to about a year later
In 1953,Early in the following decade
in 1954,soon after
From 1955 to 1956,For the next two years
In 1956,In just a few years
from 1963 to 1964,a few years later
in 1965,some two years later
since 1966,starting in the mid-1960s
In 1968,In about a couple of years after
In 1971,around the start of the 1970s
in December 1972,in late 1972
in December 1972,in late 1972
in 1972,in late 1972
from 1974 to 1975,in the mid-1970s
In 1975,in the mid-1970s
after 1980,a few years after 1980
in 1985,in the year not long before the end of the 1980s
1926,long before Christy joined high school
1932,several decades ago
1942,the following year
"November 6, 1942",late in that year
December 2,shortly after
April and May 1944,some time during that year
1999,quite a few years ago
1999 and 2006,for several years
2000,two decades ago
2003,two decades ago
2004,just under two decades ago
2004,almost two decades ago
2007-2012,over a decade ago
starting in 2019,starting in 2019
as of 2024,as of next year
2011,a little over a decade ago
2015,some years later
2012,over a decade ago
2014 and 2017,several years ago
since 2014,since 2014
July 2023,a few months ago
2020,a few years ago
2021,about two years ago
2021,around two years ago
1993,early 1990s
1996,mid-1990s
1996,mid-1990s
2017,just over two decades
2000,early 2000s
2005,mid-2000s
2010,a few years
"February 3, 2006",early February 2006
2010,early 2010s
November 2010,late 2010
2012,November 2012
2013,start of the 2010s
2013,early in the last decade
1976,decades ago
1979,more than four decades ago
1981,the early 80s
From 1988 to 2002,From the late 80s to the early 2000s
"From January 1, 2003, to January 1, 2007",From the beginning of 2003 to the beginning of 2007
2003,the early 2000s
2003,the early 2000s
2005,A few years later
2005,in the spring and summer that followed
"December 6, 2006",a decade ago
"January 21, 2007",a few months after the preceding event
"2: September 21, 1976",the inaugural equinox of the project in 1976
3: 1986,a few decades ago
4: 1988,the late 1980s
5: 1988,during a period of innovation in the late 20th century
6: 1988,the twilight of 1980s
7: 1991,at the start of the 1990s
8: 1991,at the start of the 1990s
9: 1992,the early 1990s
10: 1995,the mid-1990s
14: 1998,Toward yet another turn of the century
15: 1999,as the new millennium approached
1969,More than five decades ago
1974,Nearly half a century ago
1988,Late 1980s
1993,Early 1990s
1998,Two decades ago
2006,Almost two decades ago
2007,Roughly one and a half decades ago
1972,earlier that year
1928,[retained]
1946,[retained]
1949,[retained]
1954,[retained]
1955,[retained]
1956,[retained]
1960,[retained]
1965,[retained]
1966,[retained]
1967,[retained]
1968,[retained]
1973,the next year
1977,several years later
1978,earlier
1981,a few years after the book's launch
1986,[retained]
1986,around the same time
1991,[retained]
1993,a few years later
1994,at the time
1996,within two years
"June 2, 1955",mid-20th century
"December 27, 1911",near the turn of the 20th century
2014,a few years ago
"November, 1930",near the end of 1930
"May 2, 1936",early days of May 1936
1939,just before the 1940s
1975,mid-1970s
1943,during World War II
1945,after the war
1961,About two decades later
1971,Roughly a decade post that
1971-1981,during the 1970s
1973,A couple of years after that
1973,In the same couple of years
1976,Mid-1970s
1977,Around 1977
1978 and 1979,During the late 1970s
1981,In the early 1980s
1993,almost three decades ago
1999,roughly a quarter-century ago
2005,Eight years into her career at Google
2008,Over a decade and a half ago
2009,several years ago
"December 12, 2009",nearly 14 years ago
the end of 2010,over a decade ago
2012,for five years
July 2012,roughly 11 years ago
"September 30, 2012",later that year
2012,throughout the early-to-mid-2010s
2013,throughout the early-to-mid-2010s
2014,throughout the early-to-mid-2010s
"July 16, 2012",A little over a decade ago
2013,in 2013
September 2013,Around the same period in 2013
September 2013,That same period in September
2014,nearly a decade ago
2016,roughly seven years ago
2014,In 2014
"December 10, 2015",A little under eight years ago
"December 24, 2015",In late December
January 2016,In early 2016
February 2016,Around early 2016
February 2016,During the same early 2016 period
March 2017,In early 2017
March 2018,over five years ago
April 1964,spring of 1964
1970,early 1970s
1982,early 1980s
February 1989,early part of 1989
1988,before the end of the 1980s
1992,"two decades, from 1992"
1998,towards the close of the 1990s
2002 to 2012,first decade of the 21st century
2004 to 2012,mid-2000s to 2012
2005 to 2012,"over the course of seven years, until 2012"
March 2005,the spring of 2005
2006,mid-2000s
June 2007,midway through 2007
2007 and 2008,late 2000s
2008,15 March 2008
September 2013,about a year after stepping down
22 October 2022,close to late 2022
1985,many years later
1986,late 1980s
1989,a significant historical protest
1989,years following the protest
2010,quite some time later
1998,a decade later
November 2002,late 2002
March 2003,early 2003
2002,early 2000s
early 2003,the spring of the first year following his assumption of the premiership
March 2004,the first year following his assumption of the premiership
1 December 2004,Not long thereafter
January 2005,a few years later
2006,Years into his premiership
2007,after that remark
April 2007,during that time
2008 Sichuan earthquake,devastating earthquake in Sichuan
2008,that year
12 November 2010,late 2010
2009,the year prior
2009,that same year
